date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:28:41	104020/104020	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Apr%202020%2023:28:41%20GMT	https://www.zenith.gg/	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/index.html	(from )
19:28:41	67/67	---M--	200	added ('OK')	text/plain	date:Tue,%2021%20Apr%202020%2023:28:41%20GMT	https://www.zenith.gg/robots.txt		(from )
19:28:41	41467/41467	---MCZ	200	added ('OK')	text/css	etag:W/%225dc1f24c-a1fb%22	https://www.zenith.gg/wp-includes/css/dist/block-library/style.min.css	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-includes/css/dist/block-library/style.min.css	(from https://www.zenith.gg/)
19:28:42	1099/1099	---MCZ	200	added ('OK')	text/css	etag:W/%225ba3b970-44b%22	https://www.zenith.gg/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.4.1	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/plugins/contact-form-7/includes/css/stylesa94e.css	(from https://www.zenith.gg/)
19:28:42	39750/39750	---MCZ	200	added ('OK')	text/css	etag:W/%225c01bf67-9b46%22	https://www.zenith.gg/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/plugins/revslider/public/assets/css/settings23da.css	(from https://www.zenith.gg/)
19:28:42	3682/3682	---MCZ	200	added ('OK')	text/css	etag:W/%225ba3b970-e62%22	https://www.zenith.gg/wp-content/plugins/timetable/style/superfish.css	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/plugins/timetable/style/superfish.css	(from https://www.zenith.gg/)
19:28:42	151931/151931	---MCZ	200	added ('OK')	application/rss+xml	date:Mon,%2009%20Sep%202019%2013:21:03%20GMT	https://www.zenith.gg/feed/	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/feed/index.html	(from https://www.zenith.gg/)
19:28:42	11902/11902	---MCZ	200	added ('OK')	text/css	etag:W/%225ba3b970-2e7e%22	https://www.zenith.gg/wp-content/plugins/timetable/style/style.css	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/plugins/timetable/style/style.css	(from https://www.zenith.gg/)
19:28:43	5568/5568	---MCZ	200	added ('OK')	application/rss+xml	date:Fri,%2021%20Sep%202018%2002:28:54%20GMT	https://www.zenith.gg/comments/feed/	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/comments/feed/index.html	(from https://www.zenith.gg/)
19:28:43	8234/8234	---MCZ	200	added ('OK')	text/css	etag:W/%225ba3b970-202a%22	https://www.zenith.gg/wp-content/plugins/timetable/style/event_template.css	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/plugins/timetable/style/event_template.css	(from https://www.zenith.gg/)
19:28:43	5176/5176	---MCZ	200	added ('OK')	text/css	etag:W/%225ba3b970-1438%22	https://www.zenith.gg/wp-content/plugins/timetable/style/responsive.css	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/plugins/timetable/style/responsive.css	(from https://www.zenith.gg/)
19:28:43	622/622	---MCZ	200	added ('OK')	text/css	etag:W/%225c01b43f-26e%22	https://www.zenith.gg/wp-content/themes/playerx/style.css	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/themes/playerx/style.css	(from https://www.zenith.gg/)
19:28:43	518382/518382	---MCZ	200	added ('OK')	text/css	etag:W/%225c01b43f-7e8ee%22	https://www.zenith.gg/wp-content/themes/playerx/assets/css/modules.min.css	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/themes/playerx/assets/css/modules.min.css	(from https://www.zenith.gg/)
19:28:44	11546/11546	---MCZ	200	added ('OK')	text/css	etag:W/%225c01b43f-2d1a%22	https://www.zenith.gg/wp-content/themes/playerx/framework/lib/icons-pack/dripicons/dripicons.css	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/themes/playerx/framework/lib/icons-pack/dripicons/dripicons.css	(from https://www.zenith.gg/)
19:28:44	21769/21769	---MCZ	200	added ('OK')	text/css	etag:W/%225c01b43f-5509%22	https://www.zenith.gg/wp-content/themes/playerx/framework/lib/icons-pack/elegant-icons/style.min.css	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/themes/playerx/framework/lib/icons-pack/elegant-icons/style.min.css	(from https://www.zenith.gg/)
19:28:44	35359/35359	---MCZ	200	added ('OK')	text/css	etag:W/%225c01b43f-8a1f%22	https://www.zenith.gg/wp-content/themes/playerx/framework/lib/icons-pack/font-awesome/css/fontawesome-all.min.css	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/themes/playerx/framework/lib/icons-pack/font-awesome/css/fontawesome-all.min.css	(from https://www.zenith.gg/)
19:28:44	51284/51284	---MCZ	200	added ('OK')	text/css	etag:W/%225c01b43f-c854%22	https://www.zenith.gg/wp-content/themes/playerx/framework/lib/icons-pack/ion-icons/css/ionicons.min.css	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/themes/playerx/framework/lib/icons-pack/ion-icons/css/ionicons.min.css	(from https://www.zenith.gg/)
19:28:44	78080/78080	---MCZ	200	added ('OK')	text/css	etag:W/%225c01b43f-13100%22	https://www.zenith.gg/wp-content/themes/playerx/framework/lib/icons-pack/linea-icons/style.css	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/themes/playerx/framework/lib/icons-pack/linea-icons/style.css	(from https://www.zenith.gg/)
19:28:45	8344/8344	---MCZ	200	added ('OK')	text/css	etag:W/%225c01b43f-2098%22	https://www.zenith.gg/wp-content/themes/playerx/framework/lib/icons-pack/linear-icons/style.css	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/themes/playerx/framework/lib/icons-pack/linear-icons/style.css	(from https://www.zenith.gg/)
19:28:45	12343/12343	---MCZ	200	added ('OK')	text/css	etag:W/%225c01b43f-3037%22	https://www.zenith.gg/wp-content/themes/playerx/framework/lib/icons-pack/simple-line-icons/simple-line-icons.css	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/themes/playerx/framework/lib/icons-pack/simple-line-icons/simple-line-icons.css	(from https://www.zenith.gg/)
19:28:45	11425/11425	---MCZ	200	added ('OK')	text/css	etag:W/%225d9cb3ea-2ca1%22	https://www.zenith.gg/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.13-9993131	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-includes/js/mediaelement/mediaelementplayer-legacy.minc270.css	(from https://www.zenith.gg/)
19:28:45	4186/4186	---MCZ	200	added ('OK')	text/css	etag:W/%225cfaccce-105a%22	https://www.zenith.gg/wp-includes/js/mediaelement/wp-mediaelement.min.css	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-includes/js/mediaelement/wp-mediaelement.min.css	(from https://www.zenith.gg/)
19:28:46	100611/100611	---MCZ	200	added ('OK')	text/css	etag:W/%225c01b43f-18903%22	https://www.zenith.gg/wp-content/themes/playerx/assets/css/woocommerce.min.css	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/themes/playerx/assets/css/woocommerce.min.css	(from https://www.zenith.gg/)
19:28:46	12889/12889	---MCZ	200	added ('OK')	text/css	etag:W/%225c01b43f-3259%22	https://www.zenith.gg/wp-content/themes/playerx/assets/css/woocommerce-responsive.min.css	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/themes/playerx/assets/css/woocommerce-responsive.min.css	(from https://www.zenith.gg/)
19:28:46	1442/1442	---MCZ	200	added ('OK')	text/css	etag:W/%225d1b7d29-5a2%22	https://www.zenith.gg/wp-content/themes/playerx/assets/css/style_dynamic.css?ver=1562082601	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/themes/playerx/assets/css/style_dynamiccdef.css	(from https://www.zenith.gg/)
19:28:46	44847/44847	---MCZ	200	added ('OK')	text/css	etag:W/%225c01b43f-af2f%22	https://www.zenith.gg/wp-content/themes/playerx/assets/css/modules-responsive.min.css	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/themes/playerx/assets/css/modules-responsive.min.css	(from https://www.zenith.gg/)
19:28:46	638/638	---MCZ	200	added ('OK')	text/css	etag:W/%225d1b7d29-27e%22	https://www.zenith.gg/wp-content/themes/playerx/assets/css/style_dynamic_responsive.css?ver=1562082601	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/themes/playerx/assets/css/style_dynamic_responsivecdef.css	(from https://www.zenith.gg/)
19:28:47	484758/484758	---MCZ	200	added ('OK')	text/css	etag:W/%225c01b559-76596%22	https://www.zenith.gg/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.5.4	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/plugins/js_composer/assets/css/js_composer.min7e15.css	(from https://www.zenith.gg/)
19:28:47	96873/96873	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cde37d2-17a69%22	https://www.zenith.gg/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-includes/js/jquery/jquery4a5f.js	(from https://www.zenith.gg/)
19:28:47	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:W/%22573eaa90-2748%22	https://www.zenith.gg/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://www.zenith.gg/)
19:28:47	110564/110564	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c01bf67-1afe4%22	https://www.zenith.gg/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js?ver=5.4.8	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min23da.js	(from https://www.zenith.gg/)
19:28:47	64949/64949	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c01bf67-fdb5%22	https://www.zenith.gg/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.4.8	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min23da.js	(from https://www.zenith.gg/)
19:28:48	9566/9566	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c01bbef-255e%22	https://www.zenith.gg/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.70	C:/Users/carro/Desktop/cal/Calamity/www.zenith.gg/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min44fd.js	(from https://www.zenith.gg/)
